Participant,Order,Condition,Exercise,Reps,Checkpoint,Deviation,Assessment
1,UM,U,RG,1,1,99,87
1,UM,U,RG,1,2,98,87
1,UM,U,RG,1,3,87,87
1,UM,U,RG,1,4,74,87
1,UM,U,RG,1,5,83,87
1,UM,U,RG,2,1,87,84
1,UM,U,RG,2,2,87,84
1,UM,U,RG,2,3,94,84
1,UM,U,RG,2,4,65,84
1,UM,U,RG,2,5,84,84
1,UM,U,RG,3,1,95,86
1,UM,U,RG,3,2,92,86
1,UM,U,RG,3,3,94,86
1,UM,U,RG,3,4,70,86
1,UM,U,RG,3,5,82,86
1,UM,U,RG,4,1,97,89
1,UM,U,RG,4,2,90,89
1,UM,U,RG,4,3,94,89
1,UM,U,RG,4,4,70,89
1,UM,U,RG,4,5,88,89
1,UM,U,RG,5,1,88,88
1,UM,U,RG,5,2,89,88
1,UM,U,RG,5,3,97,88
1,UM,U,RG,5,4,79,88
1,UM,U,RG,5,5,87,88
1,UM,U,BC,1,1,0,0
1,UM,U,BC,1,2,0,0
1,UM,U,BC,2,1,0,0
1,UM,U,BC,2,2,0,0
1,UM,U,BC,3,1,62,77
1,UM,U,BC,3,2,92,77
1,UM,U,BC,4,1,50,71
1,UM,U,BC,4,2,92,71
1,UM,U,BC,5,1,62,77
1,UM,U,BC,5,2,92,77
1,UM,U,SS,1,1,95,94
1,UM,U,SS,1,2,92,94
1,UM,U,SS,2,1,95,92
1,UM,U,SS,2,2,89,92
1,UM,U,SS,3,1,95,94
1,UM,U,SS,3,2,92,94
1,UM,U,SS,4,1,95,92
1,UM,U,SS,4,2,88,92
1,UM,U,SS,5,1,95,92
1,UM,U,SS,5,2,89,92
1,UM,M,RG,1,1,0,0
1,UM,M,RG,1,2,0,0
1,UM,M,RG,1,3,0,0
1,UM,M,RG,1,4,0,0
1,UM,M,RG,1,5,0,0
1,UM,M,RG,2,1,0,0
1,UM,M,RG,2,2,0,0
1,UM,M,RG,2,3,0,0
1,UM,M,RG,2,4,0,0
1,UM,M,RG,2,5,0,0
1,UM,M,RG,3,1,0,0
1,UM,M,RG,3,2,0,0
1,UM,M,RG,3,3,0,0
1,UM,M,RG,3,4,0,0
1,UM,M,RG,3,5,0,0
1,UM,M,RG,4,1,0,0
1,UM,M,RG,4,2,0,0
1,UM,M,RG,4,3,0,0
1,UM,M,RG,4,4,0,0
1,UM,M,RG,4,5,0,0
1,UM,M,RG,5,1,0,0
1,UM,M,RG,5,2,0,0
1,UM,M,BC,1,1,34,64
1,UM,M,BC,1,2,95,64
1,UM,M,BC,2,1,37,68
1,UM,M,BC,2,2,99,68
1,UM,M,BC,3,1,63,79
1,UM,M,BC,3,2,95,79
1,UM,M,BC,4,1,72,67
1,UM,M,BC,4,2,62,67
1,UM,M,BC,5,1,0,0
1,UM,M,BC,5,2,0,0
1,UM,M,SS,1,1,95,92
1,UM,M,SS,1,2,89,92
1,UM,M,SS,2,1,95,94
1,UM,M,SS,2,2,93,94
1,UM,M,SS,3,1,95,92
1,UM,M,SS,3,2,92,92
1,UM,M,SS,4,1,95,91
1,UM,M,SS,4,2,87,91
1,UM,M,SS,5,1,95,92
1,UM,M,SS,5,2,89,92
2,MU,M,RG,1,1,0,0
2,MU,M,RG,1,2,0,0
2,MU,M,RG,1,3,0,0
2,MU,M,BC,1,1,0,0
2,MU,M,BC,1,2,0,0
2,MU,M,BC,2,1,0,0
2,MU,M,BC,2,2,0,0
2,MU,M,BC,3,1,0,0
2,MU,M,BC,3,2,0,0
2,MU,M,BC,4,1,0,0
2,MU,M,BC,4,2,0,0
2,MU,M,BC,5,1,0,0
2,MU,M,BC,5,2,0,0
2,MU,M,SS,1,1,95,94
2,MU,M,SS,1,2,92,94
2,MU,M,SS,2,1,95,95
2,MU,M,SS,2,2,96,95
2,MU,M,SS,3,1,96,95
2,MU,M,SS,3,2,94,95
2,MU,M,SS,4,1,96,95
2,MU,M,SS,4,2,93,95
2,MU,M,SS,5,1,95,96
2,MU,M,SS,5,2,97,96
2,MU,U,RG,1,1,0,0
2,MU,U,RG,1,2,0,0
2,MU,U,RG,1,3,0,0
2,MU,U,BC,1,1,0,0
2,MU,U,BC,1,2,0,0
2,MU,U,BC,2,1,0,0
2,MU,U,BC,2,2,0,0
2,MU,U,BC,3,1,0,0
2,MU,U,BC,3,2,0,0
2,MU,U,BC,4,1,0,0
2,MU,U,BC,4,2,0,0
2,MU,U,BC,5,1,0,0
2,MU,U,BC,5,2,0,0
2,MU,U,SS,1,1,95,92
2,MU,U,SS,1,2,88,92
2,MU,U,SS,2,1,95,92
2,MU,U,SS,2,2,89,92
2,MU,U,SS,3,1,95,91
2,MU,U,SS,3,2,87,91
2,MU,U,SS,4,1,95,93
2,MU,U,SS,4,2,90,93
2,MU,U,SS,5,1,95,91
2,MU,U,SS,5,2,86,91
3,UM,U,RG,1,1,0,0
3,UM,U,RG,1,2,0,0
3,UM,U,RG,1,3,0,0
3,UM,U,RG,1,4,0,0
3,UM,U,RG,1,5,0,0
3,UM,U,RG,1,6,0,0
3,UM,U,RG,2,1,0,0
3,UM,U,RG,2,2,0,0
3,UM,U,RG,2,3,0,0
3,UM,U,RG,2,4,0,0
3,UM,U,RG,2,5,0,0
3,UM,U,RG,2,6,0,0
3,UM,U,RG,3,1,0,0
3,UM,U,RG,3,2,0,0
3,UM,U,RG,3,3,0,0
3,UM,U,RG,3,4,0,0
3,UM,U,RG,3,5,0,0
3,UM,U,RG,3,6,0,0
3,UM,U,RG,4,1,0,0
3,UM,U,RG,4,2,0,0
3,UM,U,RG,4,3,0,0
3,UM,U,RG,4,4,0,0
3,UM,U,RG,4,5,0,0
3,UM,U,RG,4,6,0,0
3,UM,U,RG,5,1,0,0
3,UM,U,RG,5,2,0,0
3,UM,U,RG,5,3,0,0
3,UM,U,RG,5,4,0,0
3,UM,U,RG,5,5,0,0
3,UM,U,RG,5,6,0,0
3,UM,U,BC,1,1,75,87
3,UM,U,BC,1,2,99,87
3,UM,U,BC,2,1,84,88
3,UM,U,BC,2,2,92,88
3,UM,U,BC,3,1,83,91
3,UM,U,BC,3,2,92,91
3,UM,U,BC,4,1,82,91
